Battle in NY 2024,,Battle in New York 2022,Box Bonus:,12,,,Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Isle,32.27,40,Lotto 1,,12,3.746,2.271,,6536,Aurora Steel,27.98,115.3,AP,0.387,0.238,,6512,Dragon Fang,45.27,71.3,AP,0.352,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",229,"35,908",,,34.7,10.0,3.9,125.3,,,,,,,,,,6541,Arrowhead of Malice,51.500,62.7,AP,0.728,0.441,,6508,Ghost Lantern,51.500,62.7,AP,0.731,0.468,,6534,Mystic Gunpowder,77.250,41.8,AP,0.656,0.404,,6503,Proof of Hero,77.250,41.8,AP,0.448,0.218,,6516,Evil Bone,77.250,41.8,AP,0.445,0.294,,,,,,,,,,,,,,,,,,,-1,Blue Gems,51.500,,-2,Red Gems,51.500,,-3,Gold Gems,25.750,,-6,XP,772.5
Prelims: Cont.,31.6,40,Lotto 1,,12,4.089,2.407,,6532,Refined Magatama,32.61,96.9,AP,0.455,0.238,,6503,Proof of Hero,50,63.2,AP,0.296,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",250,"39,854",,,35.6,11.0,3.6,112.9,,,,,,,,,,6541,Arrowhead of Malice,55.973,56.5,AP,0.808,0.489,,6508,Ghost Lantern,55.973,56.5,AP,0.811,0.519,,6534,Mystic Gunpowder,83.960,37.6,AP,0.728,0.449,,6503,Proof of Hero,83.960,37.6,AP,0.497,0.242,,6516,Evil Bone,83.960,37.6,AP,0.494,0.326,,,,,,,,,,,,,,,,,,,-1,Blue Gems,55.973,,-2,Red Gems,55.973,,-3,Gold Gems,27.987,,-6,XP,839.6
Prelims: Planet,31.12,40,Lotto 1,,12,4.750,2.855,,6539,Reactor Core of Dawn,22.41,138.9,AP,0.665,0.336,,6535,Eternal Ice,37.99,81.9,AP,0.499,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",270,"42,804",,,35.5,11.8,3.4,105.1,,,,,,,,,,6541,Arrowhead of Malice,59.203,52.6,AP,0.868,0.526,,6508,Ghost Lantern,59.203,52.6,AP,0.871,0.557,,6534,Mystic Gunpowder,88.805,35.0,AP,0.782,0.482,,6503,Proof of Hero,88.805,35.0,AP,0.534,0.260,,6516,Evil Bone,88.805,35.0,AP,0.531,0.350,,,,,,,,,,,,,,,,,,,-1,Blue Gems,59.203,,-2,Red Gems,59.203,,-3,Gold Gems,29.602,,-6,XP,888.1
Prelims: Galaxy,28.75,40,Lotto 1,,12,6.465,3.872,,6528,Primordial Lanugo,26.27,109.4,AP,0.939,0.556,,6502,Seed of Yggdrasil,49.96,57.5,AP,0.610,0.333,,6105,Magic Gem of Caster,,,,,,,7105,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",327,"58,696",,,45.0,15.0,2.7,76.7,,,,,,,,,,6541,Arrowhead of Malice,75.000,38.3,AP,1.190,0.721,,6508,Ghost Lantern,75.000,38.3,AP,1.195,0.764,,6534,Mystic Gunpowder,112.500,25.6,AP,1.072,0.661,,6503,Proof of Hero,112.500,25.6,AP,0.732,0.357,,6516,Evil Bone,112.500,25.6,AP,0.728,0.480,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.000,,-2,Red Gems,75.000,,-3,Gold Gems,37.500,,-6,XP,1125.0
Prelims: Space,28.73,40,Lotto 1,,12,7.120,4.140,,6518,Spirit Root,26.21,109.6,AP,1.411,0.688,,6513,Meteor Horseshoes,51.71,55.6,AP,0.783,0.463,,6201,Secret Gem of Saber,26.43,108.7,AP,0.638,,,7101,Saber Monument,,,,,,,7104,Rider Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",327,"58,815",,,45.1,15.0,2.7,76.5,,,,,,,,,,6541,Arrowhead of Malice,75.100,38.3,AP,1.192,0.722,,6508,Ghost Lantern,75.100,38.3,AP,1.197,0.766,,6534,Mystic Gunpowder,112.650,25.5,AP,1.074,0.662,,6503,Proof of Hero,112.650,25.5,AP,0.733,0.357,,6516,Evil Bone,112.650,25.5,AP,0.729,0.481,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.100,,-2,Red Gems,75.100,,-3,Gold Gems,37.550,,-6,XP,1126.5
Main: Isle,31.88,40,Lotto 2,,12,4.008,2.322,,6515,Octuplet Crystal,27.27,116.9,AP,0.397,0.194,,6505,Void's Dust,45.45,70.1,AP,0.412,0.187,,6206,Secret Gem of Assassin,9.09,350.7,AP,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",232,"38,194",,,37.4,10.4,3.7,117.8,,,,,,,,,,6541,Arrowhead of Malice,54.117,58.9,AP,0.774,0.469,,6508,Ghost Lantern,54.117,58.9,AP,0.777,0.497,,6534,Mystic Gunpowder,81.175,39.3,AP,0.698,0.430,,6503,Proof of Hero,81.175,39.3,AP,0.476,0.232,,6516,Evil Bone,81.175,39.3,AP,0.474,0.312,,,,,,,,,,,,,,,,,,,-1,Blue Gems,54.117,,-2,Red Gems,54.117,,-3,Gold Gems,27.058,,-6,XP,811.8
Main: Cont.,32.14,40,Lotto 2,,12,4.000,2.371,,6501,Phoenix Feather,56.67,56.7,AP,0.926,0.506,,6203,Secret Gem of Lancer,13.33,241.1,AP,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",246,"36,704",,,35.7,10.1,3.8,122.6,,,,,,,,,,6541,Arrowhead of Malice,52.430,61.3,AP,0.744,0.451,,6508,Ghost Lantern,52.430,61.3,AP,0.747,0.478,,6534,Mystic Gunpowder,78.645,40.9,AP,0.670,0.413,,6503,Proof of Hero,78.645,40.9,AP,0.458,0.223,,6516,Evil Bone,78.645,40.9,AP,0.455,0.300,,,,,,,,,,,,,,,,,,,-1,Blue Gems,52.430,,-2,Red Gems,52.430,,-3,Gold Gems,26.215,,-6,XP,786.5
Main: Planet,30.82,40,Lotto 2,,12,5.037,2.970,,6546,Fruit of Eternity,20.91,147.4,AP,0.626,0.316,,6524,Great Knight Medal,38.18,80.7,AP,0.670,0.384,,6201,Secret Gem of Saber,13.64,226.0,AP,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",273,"44,669",,,40.2,12.0,3.3,100.7,,,,,,,,,,6541,Arrowhead of Malice,61.187,50.4,AP,0.905,0.548,,6508,Ghost Lantern,61.187,50.4,AP,0.909,0.582,,6534,Mystic Gunpowder,91.780,33.6,AP,0.816,0.503,,6503,Proof of Hero,91.780,33.6,AP,0.557,0.272,,6516,Evil Bone,91.780,33.6,AP,0.554,0.365,,,,,,,,,,,,,,,,,,,-1,Blue Gems,61.187,,-2,Red Gems,61.187,,-3,Gold Gems,30.593,,-6,XP,917.8
Main: Galaxy,28.67,40,Lotto 2,,12,6.736,4.065,,6548,Flaming Oni Lantern Plant,20.94,136.9,AP,1.150,0.703,,6537,Giant's Ring,39.81,72.0,AP,0.619,0.349,,6207,Secret Gem of Berserker,16.22,176.8,AP,0.424,,,7107,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",328,"59,294",,,47.7,14.9,2.6,75.9,,,,,,,,,,6541,Arrowhead of Malice,75.553,37.9,AP,1.202,0.728,,6508,Ghost Lantern,75.553,37.9,AP,1.207,0.772,,6534,Mystic Gunpowder,113.330,25.3,AP,1.083,0.668,,6503,Proof of Hero,113.330,25.3,AP,0.739,0.360,,6516,Evil Bone,113.330,25.3,AP,0.735,0.485,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.553,,-2,Red Gems,75.553,,-3,Gold Gems,37.777,,-6,XP,1133.3
Main: Space,28.61,40,Lotto 2,,12,7.199,4.146,,6525,Scarab of Wisdom,26.02,110.0,AP,1.385,0.630,,6514,Homunculus Baby,51.34,55.7,AP,0.815,0.483,,6205,Secret Gem of Caster,21.33,134.1,AP,0.369,,,7105,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",329,"59,691",,,47.9,15.0,2.6,75.4,,,,,,,,,,6541,Arrowhead of Malice,75.900,37.7,AP,1.210,0.733,,6508,Ghost Lantern,75.900,37.7,AP,1.215,0.777,,6534,Mystic Gunpowder,113.850,25.1,AP,1.090,0.672,,6503,Proof of Hero,113.850,25.1,AP,0.744,0.363,,6516,Evil Bone,113.850,25.1,AP,0.740,0.488,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.900,,-2,Red Gems,75.900,,-3,Gold Gems,37.950,,-6,XP,1138.5
